,row,genotype,location,Anthesis,Silk,Days to Anthesis,Days to Silk,Anthesis GDD,Silking GDD
661,TB17_2221,b015x  b004,Bradford,7/17/2017,7/18/2017,62,63,3900.05,3970.85
662,TB17_2222,b111 x  b078,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
663,TB17_2223,b057 x  b055,Bradford,7/22/2017,7/23/2017,67,68,4260.6,4334.5
664,TB17_2224,b131x  b015,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
665,TB17_2225,b169 x  b102,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
666,TB17_2226,b154 x  b125,Bradford,7/17/2017,7/19/2017,62,64,3900.05,4042.3
667,TB17_2227,b154 x  b044,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
668,TB17_2228,b055x  b004,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
669,TB17_2229,b078 x  b065,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
670,TB17_2230,b065x  B73,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
671,TB17_2231,b189 x  b049,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
672,TB17_2232,b144x  b015,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
673,TB17_2233,b107x  b040,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
674,TB17_2234,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
675,TB17_2235,b125 x  b065,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
676,TB17_2236,b065 x  b044,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
677,TB17_2237,b144 x  b111,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
678,TB17_2238,b175 x  b102,Bradford,NA,7/19/2017,NA,64,NA,4042.3
679,TB17_2239,b107 x  b102,Bradford,7/23/2017,7/23/2017,68,68,4334.5,4334.5
680,TB17_2240,b136 x  b111,Bradford,7/22/2017,7/23/2017,67,68,4260.6,4334.5
681,TB17_2241,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
682,TB17_2242,b078x  B73,Bradford,7/21/2017,7/21/2017,66,66,4187.25,4187.25
683,TB17_2243,b175 x  b111,Bradford,7/17/2017,7/18/2017,62,63,3900.05,3970.85
684,TB17_2244,b107x  b015,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
685,TB17_2245,b136 x  b125,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
686,TB17_2246,b078 x  b049,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
687,TB17_2247,b107 x  b057,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
688,TB17_2248,b049x  B73,Bradford,NA,NA,NA,NA,NA,NA
689,TB17_2249,b111x  b015,Bradford,7/22/2017,7/23/2017,67,68,4260.6,4334.5
690,TB17_2250,b154x  b015,Bradford,7/18/2017,7/17/2017,63,62,3970.85,3900.05
691,TB17_2251,b189 x  b125,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
692,TB17_2252,b169x  b004,Bradford,7/22/2017,7/22/2017,67,67,4260.6,4260.6
693,TB17_2253,b049x  b015,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
694,TB17_2254,b107 x  b049,Bradford,NA,NA,NA,NA,NA,NA
695,TB17_2255,b102x  b004,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
696,TB17_2256,b169 x  b154,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
697,TB17_2257,b175 x  b169,Bradford,7/20/2017,7/22/2017,65,67,4114.35,4260.6
698,TB17_2258,b154 x  b131,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
699,TB17_2259,b131x  b040,Bradford,NA,NA,NA,NA,NA,NA
700,TB17_2260,b189 x  b131,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
701,TB17_2261,b189 x  b111,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
702,TB17_2262,b154 x  b107,Bradford,7/22/2017,7/22/2017,67,67,4260.6,4260.6
703,TB17_2263,b175 x  b065,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
704,TB17_2264,b175 x  b136,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
705,TB17_2265,b189 x  b169,Bradford,NA,NA,NA,NA,NA,NA
706,TB17_2266,b065 x  b055,Bradford,7/24/2017,7/24/2017,69,69,4404.85,4404.85
707,TB17_2267,b102x  b015,Bradford,7/17/2017,7/19/2017,62,64,3900.05,4042.3
708,TB17_2268,b102 x  b078,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
709,TB17_2269,b131 x  b107,Bradford,7/21/2017,7/22/2017,66,67,4187.25,4260.6
710,TB17_2270,b169 x  b111,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
711,TB17_2271,b125 x  b078,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
712,TB17_2272,b107 x  b055,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
713,TB17_2273,b107 x  b044,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
714,TB17_2274,b154 x  b078,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
715,TB17_2275,b144x  B73,Bradford,7/20/2017,7/22/2017,65,67,4114.35,4260.6
716,TB17_2276,b065x  b015,Bradford,NA,NA,NA,NA,NA,NA
717,TB17_2277,b154 x  b065,Bradford,NA,7/20/2017,NA,65,NA,4114.35
718,TB17_2278,b131 x  b065,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
719,TB17_2279,b144 x  b057,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
720,TB17_2280,b154 x  b144,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
721,TB17_2281,b102 x  b049,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
722,TB17_2282,b125 x  b055,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
723,TB17_2283,b175x  B73,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
724,TB17_2284,b189x  b040,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
725,TB17_2285,b057x  b040,Bradford,7/19/2017,7/21/2017,64,66,4042.3,4187.25
726,TB17_2286,b175 x  b078,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
727,TB17_2287,b175x  b040,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
728,TB17_2288,b154x  b040,Bradford,7/24/2017,7/25/2017,69,70,4404.85,4474.95
729,TB17_2289,b169x  b040,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
730,TB17_2290,b189 x  b107,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
731,TB17_2291,b144 x  b107,Bradford,7/18/2017,7/17/2017,63,62,3970.85,3900.05
732,TB17_2292,b189 x  B73,Bradford,NA,NA,NA,NA,NA,NA
733,TB17_2293,b055 x  b049,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
734,TB17_2294,b111 x  b044,Bradford,7/21/2017,7/21/2017,66,66,4187.25,4187.25
735,TB17_2295,b107 x  b065,Bradford,NA,NA,NA,NA,NA,NA
736,TB17_2296,b107x  B73,Bradford,7/20/2017,7/22/2017,65,67,4114.35,4260.6
737,TB17_2297,b004x  B73,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
738,TB17_2298,b065 x  b049,Bradford,7/17/2017,7/18/2017,62,63,3900.05,3970.85
739,TB17_2299,b125 x  b107,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
740,TB17_2300,b175 x  b131,Bradford,7/18/2017,7/17/2017,63,62,3970.85,3900.05
741,TB17_2301,b169 x  b049,Bradford,7/24/2017,7/22/2017,69,67,4404.85,4260.6
742,TB17_2302,b175 x  b144,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
743,TB17_2303,b111 x  b065,Bradford,NA,NA,NA,NA,NA,NA
744,TB17_2304,b065x  b004,Bradford,7/22/2017,7/22/2017,67,67,4260.6,4260.6
745,TB17_2305,b154 x  b057,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
746,TB17_2306,b055 x  B73,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
747,TB17_2307,b144x  b040,Bradford,7/17/2017,7/18/2017,62,63,3900.05,3970.85
748,TB17_2308,b175 x  b125,Bradford,NA,7/17/2017,NA,62,NA,3900.05
749,TB17_2309,b136x  b004,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
750,TB17_2310,b136x  b040,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
751,TB17_2311,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
752,TB17_2312,b125x  b040,Bradford,7/22/2017,7/23/2017,67,68,4260.6,4334.5
753,TB17_2313,b175x  B73,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
754,TB17_2314,B73v4,Bradford,7/22/2017,7/21/2017,67,66,4260.6,4187.25
755,TB17_2315,b078 x  b057,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
756,TB17_2316,b169 x  b065,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
757,TB17_2317,b169 x  b044,Bradford,7/22/2017,7/22/2017,67,67,4260.6,4260.6
758,TB17_2318,b065 x  b057,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
759,TB17_2319,b057 x  B73,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
760,TB17_2320,b102 x  b057,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
761,TB17_2321,b040x  B73,Bradford,NA,NA,NA,NA,NA,NA
762,TB17_2322,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
763,TB17_2323,b169x  b015,Bradford,7/19/2017,7/21/2017,64,66,4042.3,4187.25
764,TB17_2324,b144x  B73,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
765,TB17_2325,b040x  b004,Bradford,7/25/2017,7/25/2017,70,70,4474.95,4474.95
766,TB17_2326,b111 x  b102,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
767,TB17_2327,b144 x  b044,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
768,TB17_2328,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
769,TB17_2329,b189 x  b044,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
770,TB17_2330,b107x  B73,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
771,TB17_2331,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
772,TB17_2332,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
773,TB17_2333,b015 x b044,Bradford,7/17/2017,7/19/2017,62,64,3900.05,4042.3
774,TB17_2334,b111x  B73,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
775,TB17_2335,b169x  B73,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
776,TB17_2336,b131 x  b078,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
777,TB17_2337,b131 x  b102,Bradford,7/18/2017,7/17/2017,63,62,3970.85,3900.05
778,TB17_2338,b055 x  B73,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
779,TB17_2339,b125 x  b049,Bradford,NA,NA,NA,NA,NA,NA
780,TB17_2340,b125x  b004,Bradford,7/20/2017,7/23/2017,65,68,4114.35,4334.5
781,TB17_2341,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
782,TB17_2342,b175 x  b044,Bradford,7/20/2017,7/22/2017,65,67,4114.35,4260.6
783,TB17_2343,b144 x  b102,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
784,TB17_2344,b111x  b040,Bradford,NA,NA,NA,NA,NA,NA
785,TB17_2345,b189 x  b136,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
786,TB17_2346,b189 x  b102,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
787,TB17_2347,b169 x  b125,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
788,TB17_2348,b055 x  b044,Bradford,7/21/2017,7/21/2017,66,66,4187.25,4187.25
789,TB17_2349,b102 x  b044,Bradford,7/22/2017,7/21/2017,67,66,4260.6,4187.25
790,TB17_2350,b154 x  b111,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
791,TB17_2351,b102x  B73,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
792,TB17_2352,b144 x  b131,Bradford,7/22/2017,7/22/2017,67,67,4260.6,4260.6
793,TB17_2353,b175 x  b057,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
794,TB17_2354,b125 x  b111,Bradford,7/22/2017,7/23/2017,67,68,4260.6,4334.5
795,TB17_2355,b169 x  b057,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
796,TB17_2356,b057x  b004,Bradford,7/18/2017,7/21/2017,63,66,3970.85,4187.25
797,TB17_2357,b131x  B73,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
798,TB17_2358,b125x  B73,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
799,TB17_2359,b111x  B73,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
800,TB17_2360,b111 x  b049,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
801,TB17_2361,b136x  b015,Bradford,7/24/2017,7/25/2017,69,70,4404.85,4474.95
802,TB17_2362,b125x  b015,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
803,TB17_2363,b189 x  b057,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
804,TB17_2364,b169 x  b131,Bradford,7/20/2017,7/19/2017,65,64,4114.35,4042.3
805,TB17_2365,b175x  b004,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
806,TB17_2366,b131 x  b055,Bradford,7/17/2017,7/19/2017,62,64,3900.05,4042.3
807,TB17_2367,b169x  B73,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
808,TB17_2368,b102 x  b055,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
809,TB17_2369,b144 x  b055,Bradford,7/19/2017,7/21/2017,64,66,4042.3,4187.25
810,TB17_2370,b189 x  b065,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
811,TB17_2371,B73v4,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
812,TB17_2372,b125 x  b044,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
813,TB17_2373,b057x  b015,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
814,TB17_2374,b102 x  b065,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
815,TB17_2375,b049x  b040,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
816,TB17_2376,b175 x  b107,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
817,TB17_2377,b136 x  b065,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
818,TB17_2378,b131x  B73,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
819,TB17_2379,b111 x  b107,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
820,TB17_2380,b004x  B73,Bradford,7/20/2017,7/22/2017,65,67,4114.35,4260.6
821,TB17_2381,b102x  B73,Bradford,7/20/2017,7/22/2017,65,67,4114.35,4260.6
822,TB17_2382,b154 x  b049,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
823,TB17_2383,b144x  b004,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
824,TB17_2384,b189x  b004,Bradford,7/17/2017,7/19/2017,62,64,3900.05,4042.3
825,TB17_2385,b111x  b004,Bradford,NA,NA,NA,NA,NA,NA
826,TB17_2386,b107 x  b078,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
827,TB17_2387,b131 x  b049,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
828,TB17_2388,b055x  b040,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
829,TB17_2389,B73v4,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
830,TB17_2390,b154 x  b055,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
831,TB17_2391,B73v4,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
832,TB17_2392,b057 x  b049,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
833,TB17_2393,b131 x  b125,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
834,TB17_2394,b189 x  b078,Bradford,7/17/2017,7/19/2017,62,64,3900.05,4042.3
835,TB17_2395,b040x  B73,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
836,TB17_2396,b102x  b040,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
837,TB17_2397,b125 x  b102,Bradford,7/21/2017,7/23/2017,66,68,4187.25,4334.5
838,TB17_2398,b189 x  b154,Bradford,NA,NA,NA,NA,NA,NA
839,TB17_2399,b154 x  b102,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
840,TB17_2400,b144 x  b136,Bradford,7/19/2017,7/23/2017,64,68,4042.3,4334.5
841,TB17_2401,b136 x  b102,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
842,TB17_2402,b107x  b004,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
843,TB17_2403,b189 x  b175,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
844,TB17_2404,b144 x  b125,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
845,TB17_2405,b057 x  B73,Bradford,7/20/2017,7/23/2017,65,68,4114.35,4334.5
846,TB17_2406,b175 x  b154,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
847,TB17_2407,b065x  b040,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
848,TB17_2408,b136 x  b055,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
849,TB17_2409,b144 x  b065,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
850,TB17_2410,PHZ51,Bradford,NA,NA,NA,NA,NA,NA
851,TB17_2411,b049x  B73,Bradford,7/20/2017,7/20/2017,65,65,4114.35,4114.35
852,TB17_2412,b131 x  b044,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
853,TB17_2413,b044x  b004,Bradford,7/22/2017,7/22/2017,67,67,4260.6,4260.6
854,TB17_2414,b125x  B73,Bradford,7/19/2017,7/21/2017,64,66,4042.3,4187.25
855,TB17_2415,b078x  b015,Bradford,7/17/2017,7/20/2017,62,65,3900.05,4114.35
856,TB17_2416,b015x  B73,Bradford,7/22/2017,7/21/2017,67,66,4260.6,4187.25
857,TB17_2417,b111 x  b057,Bradford,7/20/2017,7/23/2017,65,68,4114.35,4334.5
858,TB17_2418,b154 x  b136,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
859,TB17_2419,b189 x  b144,Bradford,7/23/2017,7/24/2017,68,69,4334.5,4404.85
860,TB17_2420,b136x  B73,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
861,TB17_2421,b125 x  b057,Bradford,7/19/2017,7/23/2017,64,68,4042.3,4334.5
862,TB17_2422,b154 x  B73,Bradford,7/19/2017,7/19/2017,64,64,4042.3,4042.3
863,TB17_2423,b175 x  b055,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
864,TB17_2424,b154x  b004,Bradford,NA,NA,NA,NA,NA,NA
865,TB17_2425,b131 x  b111,Bradford,7/21/2017,7/22/2017,66,67,4187.25,4260.6
866,TB17_2426,b154 x  B73,Bradford,7/20/2017,7/21/2017,65,66,4114.35,4187.25
867,TB17_2427,b131 x  b057,Bradford,7/18/2017,7/18/2017,63,63,3970.85,3970.85
868,TB17_2428,b015x  B73,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
869,TB17_2429,b111 x  b055,Bradford,7/22/2017,7/21/2017,67,66,4260.6,4187.25
870,TB17_2430,b189 x  b055,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
871,TB17_2431,b131x  b004,Bradford,7/20/2017,7/18/2017,65,63,4114.35,3970.85
872,TB17_2432,b049x  b004,Bradford,NA,NA,NA,NA,NA,NA
873,TB17_2433,b057 x  b044,Bradford,7/22/2017,7/23/2017,67,68,4260.6,4334.5
874,TB17_2434,b175x  b015,Bradford,7/17/2017,7/17/2017,62,62,3900.05,3900.05
875,TB17_2435,b169 x  b055,Bradford,7/19/2017,7/20/2017,64,65,4042.3,4114.35
876,TB17_2436,b136 x  b044,Bradford,7/18/2017,7/20/2017,63,65,3970.85,4114.35
877,TB17_2437,b189x  b015,Bradford,7/22/2017,7/21/2017,67,66,4260.6,4187.25
878,TB17_2438,b169 x  b107,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
879,TB17_2439,b040x  b015,Bradford,7/18/2017,7/19/2017,63,64,3970.85,4042.3
880,TB17_2440,b055x  b015,Bradford,NA,NA,NA,NA,NA,NA
